,airline,cabin class,booking class,duration,price,country code,decreased price
79,KL,BUSINESS,Z,265,1630.81,109,1
80,BA,BUSINESS,R,305,5884.7,98,1
81,BA,BUSINESS,R,620,9439.119999999999,92,1
82,AA,ECONOMY,K,675,1789.4299999999998,92,1
83,AA,ECONOMY,S,757,994.91,92,1
84,AF,ECONOMY,A,80,2125.04,109,1
85,LH,BUSINESS,C,645,6010.25,95,1
86,BA,PREMIUM_ECO,W,385,3417.94,92,1
87,AF,PREMIUM_ECO,A,665,2667.18,109,1
88,BA,PREMIUM_ECO,W,1620,5463.1,92,1
89,EK,BUSINESS,C,425,6582.44,171,1
90,BA,BUSINESS,R,150,3087.74,98,1
91,DL,FIRST,P,782,5643.43,169,1
92,SN,BUSINESS,C,515,5185.95,169,1
93,DL,ECONOMY,Y,335,4913.49,109,1
94,NH,BUSINESS,C,890,7314.1,95,1
95,EK,ECONOMY,Y,1090,3662.12,92,1
96,AF,BUSINESS,I,695,6475.21,109,1
97,BA,BUSINESS,R,490,4943.26,92,1
98,LH,BUSINESS,C,885,7084.51,171,1
99,9W,BUSINESS,Z,550,6181.219999999999,170,1
100,LH,BUSINESS,D,855,7459.42,169,1
101,AA,PREMIUM_ECO,W,683,4792.860000000001,92,1
102,AF,BUSINESS,D,745,6180.280000000001,109,1
103,TK,BUSINESS,K,215,3145.42,169,1
104,LH,ECONOMY,M,90,2857.61,109,1
105,BA,BUSINESS,R,425,5775.27,92,1
106,AF,BUSINESS,C,655,5866.3,109,1
107,EK,BUSINESS,I,1250,5893.389999999999,95,1
108,SN,BUSINESS,C,730,5294.15,169,1
109,AF,BUSINESS,I,945,4186.87,169,1
110,SQ,BUSINESS,D,465,3823.21,95,1
111,BA,ECONOMY,B,470,5073.0,92,1
112,BA,ECONOMY,B,430,4419.4,92,1
113,BA,BUSINESS,R,840,6200.75,171,1
114,LX,BUSINESS,C,705,8539.24,171,1
115,AF,BUSINESS,D,100,11797.2,109,1
116,BA,ECONOMY,V,570,1220.74,92,1
117,VS,ECONOMY,N,580,2074.32,92,1
118,AA,ECONOMY,H,121,4693.43,92,1
119,AF,BUSINESS,Z,1650,8680.25,109,1
120,LH,ECONOMY,Y,1064,4321.83,173,1
121,SQ,BUSINESS,D,905,5190.2,171,1
122,LX,BUSINESS,D,840,6254.32,169,1
123,BA,BUSINESS,J,845,7956.41,171,1
124,LX,BUSINESS,P,895,5132.64,95,1
125,9W,BUSINESS,P,825,4865.29,169,1
126,KL,BUSINESS,I,650,5302.4,169,1
127,IB,ECONOMY,Q,765,2724.6400000000003,169,1
128,VS,PREMIUM_ECO,W,490,4827.21,92,1
129,LH,BUSINESS,C,895,7589.22,95,1
130,LH,BUSINESS,D,525,5587.58,95,1
131,BA,ECONOMY,B,810,4591.75,92,1
132,BA,PREMIUM_ECO,E,654,8060.36,92,1
133,LH,FIRST,F,805,14534.11,95,1
134,DL,BUSINESS,C,629,5684.49,95,1
135,BA,ECONOMY,Y,670,3484.59,92,1
136,BA,ECONOMY,Y,690,4884.37,92,1
137,BA,ECONOMY,Y,100,2313.62,109,1
138,LH,BUSINESS,D,680,7297.53,95,1
139,SN,BUSINESS,D,660,4809.389999999999,109,1
140,LH,BUSINESS,C,760,6254.52,97,1
141,BA,ECONOMY,B,475,4658.9400000000005,92,1
142,BA,ECONOMY,Y,860,1957.76,169,1
143,BA,ECONOMY,B,555,4820.8099999999995,92,1
144,EK,ECONOMY,M,980,1305.9099999999999,170,1
145,AF,BUSINESS,J,838,4981.42,109,1
146,AF,BUSINESS,C,665,7364.76,109,1
147,UA,BUSINESS,Z,610,7748.39,169,1
148,KL,BUSINESS,Z,1122,5830.13,109,1
149,LH,BUSINESS,Z,720,3918.35,171,1
150,A5,ECONOMY,W,65,2508.46,109,1
151,AF,BUSINESS,I,780,4037.33,109,1
152,VS,BUSINESS,I,765,5948.17,92,1
153,AF,ECONOMY,B,75,2993.63,109,1
154,9B,ECONOMY,Y,575,1618.14,95,1
155,BA,ECONOMY,Y,350,4897.93,92,1
156,KL,BUSINESS,J,730,5197.96,171,1
157,LX,BUSINESS,D,535,9061.32,171,1
158,AF,ECONOMY,B,100,1408.22,109,1
159,LH,BUSINESS,J,655,5811.03,95,1
160,AF,BUSINESS,I,530,3886.39,109,1
161,KL,ECONOMY,U,779,5269.21,109,1
162,NZ,BUSINESS,J,1955,8338.119999999999,95,1
163,EK,ECONOMY,U,1070,3546.12,95,1
164,BA,BUSINESS,R,760,9696.96,92,1
165,AF,BUSINESS,C,770,5328.74,109,1
166,BA,ECONOMY,H,525,3191.94,109,1
167,BA,BUSINESS,R,320,4250.63,92,1
168,SK,ECONOMY,K,460,3336.13,109,1
169,LX,BUSINESS,D,855,6286.97,171,1
170,BA,BUSINESS,R,490,9479.91,92,1
171,9W,BUSINESS,Z,200,5788.889999999999,109,1
172,AF,ECONOMY,U,415,2634.0299999999997,109,1
173,LH,BUSINESS,D,490,7294.53,95,1
174,BA,ECONOMY,B,410,5029.01,92,1
175,AF,BUSINESS,I,590,7720.18,109,1
176,OS,BUSINESS,D,940,3877.56,169,1
177,AF,PREMIUM_ECO,A,440,5067.219999999999,109,1
178,AF,PREMIUM_ECO,S,670,5351.02,109,1
179,LH,ECONOMY,B,445,2716.54,109,1
180,BA,BUSINESS,R,315,3780.25,92,1
181,AA,ECONOMY,M,905,2127.54,170,1
182,KL,BUSINESS,J,800,9037.54,169,1
183,IB,ECONOMY,H,915,6146.7,109,1
184,AF,BUSINESS,Z,1110,3095.66,169,1
185,AF,PREMIUM_ECO,S,500,3822.37,109,1
186,KL,BUSINESS,J,865,4512.45,95,1
187,AF,BUSINESS,J,430,9839.76,109,1
188,BA,BUSINESS,R,570,10894.09,92,1
189,BA,BUSINESS,R,520,7978.64,92,1
190,BA,ECONOMY,N,605,3751.38,92,1
191,AF,ECONOMY,Y,175,1242.0900000000001,109,1
192,BA,BUSINESS,R,470,7590.49,92,1
193,AF,BUSINESS,D,410,7280.6,109,1
194,AF,BUSINESS,D,755,5724.72,109,1
195,AF,BUSINESS,J,500,16355.21,109,1
196,BA,PREMIUM_ECO,E,695,4919.67,92,1
197,LH,BUSINESS,J,670,5015.08,95,1
198,EK,ECONOMY,M,390,717.9100000000001,95,1
199,AF,BUSINESS,C,675,6878.11,109,1
200,AF,ECONOMY,H,140,3457.07,109,1
201,BA,BUSINESS,D,425,7352.28,92,1
202,AF,BUSINESS,I,780,4467.74,109,1
203,AF,BUSINESS,I,435,3864.75,109,1
204,KL,BUSINESS,D,645,6129.27,169,1
205,BA,ECONOMY,K,75,3556.49,109,1
206,LH,BUSINESS,Z,710,7126.25,95,1
207,AA,PREMIUM_ECO,W,650,2430.38,92,1
208,QR,BUSINESS,I,950,4108.09,169,1
209,DL,BUSINESS,I,430,4563.99,169,1
210,LH,BUSINESS,C,415,4888.46,169,1
211,LH,BUSINESS,D,715,6196.02,95,1
212,QR,BUSINESS,I,870,6614.35,169,1
213,NH,BUSINESS,Z,720,4677.24,95,1
214,BA,ECONOMY,B,470,4850.05,92,1
215,AF,ECONOMY,U,440,1648.25,109,1
216,BA,PREMIUM_ECO,W,465,3904.23,92,1
217,LH,ECONOMY,Y,1100,7273.78,169,1
218,BA,BUSINESS,R,720,7727.33,92,1
219,AF,BUSINESS,I,595,6139.39,109,1
220,VS,PREMIUM_ECO,W,560,3604.16,92,1
221,AF,ECONOMY,Y,100,1800.88,109,1
222,LH,BUSINESS,D,565,8487.96,169,1
223,KL,ECONOMY,K,1141,3718.2200000000003,100,1
224,VS,BUSINESS,I,570,8152.2,92,1
225,AC,ECONOMY,Y,964,4870.22,92,1
226,LH,BUSINESS,D,879,6806.81,95,1
227,LH,ECONOMY,S,1450,1814.65,97,1
228,LH,BUSINESS,D,335,4837.21,95,1
229,IB,PREMIUM_ECO,W,625,5436.37,92,1
230,BR,PREMIUM_ECO,T,830,2957.87,109,1
231,BA,PREMIUM_ECO,W,665,4017.36,92,1
232,BA,BUSINESS,R,505,6435.74,92,1
233,AF,BUSINESS,J,875,4985.61,171,1
234,EK,ECONOMY,T,1380,2762.34,95,1
235,LH,BUSINESS,D,985,8885.439999999999,95,1
236,AF,BUSINESS,D,435,6302.79,109,1
237,KL,BUSINESS,J,980,8019.97,109,1
238,LH,BUSINESS,J,995,7400.02,97,1
239,IB,BUSINESS,I,610,3942.36,98,1
240,AF,ECONOMY,Y,1106,3498.13,169,1
241,AF,BUSINESS,C,405,8728.24,109,1
242,IB,ECONOMY,M,650,4092.6400000000003,100,1
243,KL,ECONOMY,Y,1051,3012.13,109,1
244,TG,BUSINESS,J,800,4567.99,169,1
245,AF,BUSINESS,I,725,7420.69,109,1
246,LX,ECONOMY,B,845,1547.12,109,1
247,NH,BUSINESS,D,680,6191.889999999999,169,1
248,BA,BUSINESS,C,710,4102.6,169,1
249,IB,BUSINESS,D,95,3235.12,98,1
250,AA,BUSINESS,D,983,6888.13,171,1
251,EK,BUSINESS,I,415,4413.7,95,1
252,AF,BUSINESS,I,505,4897.8099999999995,169,1
253,AF,BUSINESS,I,435,6732.65,109,1
254,BA,ECONOMY,Y,480,1793.28,92,1
255,MU,BUSINESS,C,640,3572.11,109,1
256,BA,BUSINESS,R,820,6191.05,169,1
257,BA,ECONOMY,O,580,1339.0,92,1
258,LH,BUSINESS,D,650,8230.57,95,1
259,AF,BUSINESS,Z,716,5275.07,169,1
260,AF,BUSINESS,D,665,7267.25,109,1
261,LH,PREMIUM_ECO,G,540,5557.4400000000005,95,1
262,BA,PREMIUM_ECO,W,460,5864.02,92,1
263,KL,BUSINESS,J,910,6718.08,169,1
264,LH,BUSINESS,D,999,4978.61,95,1
265,SN,ECONOMY,B,330,2429.76,169,1
266,IB,BUSINESS,I,1110,3751.67,109,1
267,AF,ECONOMY,W,75,1436.73,109,1
268,BA,BUSINESS,D,80,1346.98,109,1
269,AF,BUSINESS,D,711,5021.360000000001,109,1
270,NH,BUSINESS,J,400,5738.16,92,1
271,QR,BUSINESS,D,1050,4119.639999999999,169,1
272,AA,ECONOMY,Y,836,5160.1900000000005,109,1
273,VS,ECONOMY,N,410,2654.27,92,1
274,AF,ECONOMY,B,755,5190.71,109,1
275,LH,BUSINESS,J,230,2031.44,171,1
276,AF,PREMIUM_ECO,S,485,2056.34,109,1
277,KE,BUSINESS,D,730,5704.37,169,1
278,AF,ECONOMY,W,70,2403.45,109,1
279,BA,ECONOMY,V,100,3570.75,92,1
280,IB,BUSINESS,I,1020,6463.37,169,1
281,LX,ECONOMY,B,525,4611.2,95,1
282,LX,BUSINESS,D,640,4612.51,171,1
283,AF,ECONOMY,J,475,3075.2,109,1
284,AF,BUSINESS,D,640,5613.55,109,1
285,BA,BUSINESS,J,830,9050.15,92,1
286,CA,ECONOMY,B,620,5020.91,95,1
287,AF,BUSINESS,I,560,5103.38,109,1
288,AF,BUSINESS,Z,600,5370.71,109,1
289,KL,ECONOMY,M,155,876.99,100,1
290,AF,ECONOMY,L,215,2610.88,109,1
291,AF,BUSINESS,C,465,5405.49,109,1
292,AF,BUSINESS,C,725,12691.84,109,1
293,AF,BUSINESS,C,714,5840.1,169,1
294,KL,BUSINESS,D,900,6812.75,109,1
295,AF,ECONOMY,J,875,6984.73,109,1
296,CX,BUSINESS,I,700,5787.7,92,1
297,BA,PREMIUM_ECO,E,790,5717.04,92,1
298,KL,ECONOMY,K,695,3657.9,100,1
299,VS,BUSINESS,D,430,5474.89,92,1
300,AA,PREMIUM_ECO,W,430,4914.93,92,1
301,AF,ECONOMY,M,85,1883.29,109,1
302,SA,BUSINESS,D,940,7211.97,169,1
303,AF,BUSINESS,J,445,8434.39,109,1
304,DL,ECONOMY,T,766,3768.1099999999997,92,1
305,UA,ECONOMY,S,425,2374.12,169,1
306,BA,BUSINESS,D,715,8836.02,92,1
307,AF,BUSINESS,J,405,7472.77,109,1
308,LH,PREMIUM_ECO,E,660,3670.86,95,1
309,EK,BUSINESS,I,1040,3978.63,171,1
310,BA,BUSINESS,C,80,1746.72,92,1
311,KL,BUSINESS,Z,500,6137.41,169,1
312,AF,BUSINESS,I,935,5792.0,109,1
313,LH,PREMIUM_ECO,G,735,4141.73,95,1
314,LH,PREMIUM_ECO,E,735,5852.110000000001,95,1
315,BA,FIRST,A,780,9304.0,92,1
316,AF,BUSINESS,D,710,5843.61,109,1
317,BA,ECONOMY,Y,495,4001.62,92,1
318,BA,PREMIUM_ECO,E,590,6826.14,92,1
319,LH,BUSINESS,D,735,5219.44,169,1
320,AF,ECONOMY,Y,90,1299.7,109,1
321,A5,ECONOMY,A,60,990.48,109,1
322,AF,BUSINESS,D,525,7588.29,109,1
323,AA,ECONOMY,Y,625,8018.88,92,1
324,BA,ECONOMY,Y,245,2754.04,92,1
325,BA,BUSINESS,D,455,16752.33,92,1
326,LH,BUSINESS,C,840,6491.88,169,1
327,EK,BUSINESS,C,430,3592.75,109,1
328,KL,BUSINESS,D,965,4886.65,109,1
329,AF,BUSINESS,C,85,2631.73,109,1
330,AF,PREMIUM_ECO,S,340,3240.53,109,1
331,UA,BUSINESS,C,957,5777.18,95,1
332,BA,PREMIUM_ECO,T,665,4722.0599999999995,92,1
333,AF,BUSINESS,I,595,6254.75,109,1
334,AF,BUSINESS,I,530,3703.57,109,1
335,AA,BUSINESS,D,1042,6698.55,169,1
336,AF,PREMIUM_ECO,S,664,5830.46,109,1
337,LO,ECONOMY,W,920,5850.74,171,1
338,KL,BUSINESS,Z,655,6922.93,100,1
339,AF,BUSINESS,I,730,6042.85,109,1
340,LH,ECONOMY,L,450,1693.9,95,1
341,AF,ECONOMY,B,325,2355.0299999999997,109,1
342,AF,ECONOMY,W,95,3247.27,109,1
343,AF,ECONOMY,W,580,7158.68,109,1
344,LH,PREMIUM_ECO,E,720,4982.389999999999,95,1
345,UA,FIRST,Z,799,6600.32,169,1
346,VS,PREMIUM_ECO,H,670,3161.2,92,1
347,AF,BUSINESS,J,565,5085.76,109,1
348,AF,BUSINESS,D,505,7145.9,109,1
349,ET,ECONOMY,K,645,2401.34,170,1
350,LH,BUSINESS,D,630,3760.39,109,1
351,VS,ECONOMY,O,645,3389.56,92,1
352,UA,BUSINESS,D,840,6047.86,169,1
353,AF,BUSINESS,C,485,8131.8,109,1
354,EK,ECONOMY,W,820,1366.45,100,1
355,LX,BUSINESS,J,500,11094.71,171,1
356,BA,PREMIUM_ECO,W,900,3936.64,170,1
357,BA,PREMIUM_ECO,W,540,3404.1,92,1
358,BA,BUSINESS,R,520,7804.81,92,1
359,AF,ECONOMY,K,640,6550.24,109,1
360,LH,BUSINESS,C,450,6831.75,95,1
361,AF,BUSINESS,I,690,6500.15,169,1
362,BA,BUSINESS,R,560,7154.49,92,1
363,AF,ECONOMY,T,685,3281.6,109,1
364,BA,PREMIUM_ECO,E,740,4030.7,92,1
365,BA,BUSINESS,J,880,4730.780000000001,97,1
366,LH,BUSINESS,D,784,7329.44,95,1
367,LH,BUSINESS,P,690,4949.54,95,1
368,AA,BUSINESS,R,625,5846.59,109,1
369,UA,ECONOMY,Y,518,8745.35,169,1
370,DL,BUSINESS,I,835,3767.38,97,1
371,AY,BUSINESS,I,750,4333.79,92,1
372,LH,BUSINESS,C,725,7017.62,95,1
373,NH,BUSINESS,D,685,5957.02,169,1
374,AF,ECONOMY,J,790,5284.15,109,1
375,CX,BUSINESS,D,1065,6038.23,95,1
376,SK,BUSINESS,C,850,5056.08,171,1
377,AF,BUSINESS,I,635,4607.31,109,1
378,AF,ECONOMY,U,110,3341.9,109,1
379,AA,BUSINESS,D,535,5932.05,92,1
380,UA,ECONOMY,V,894,3628.67,169,1
381,WY,BUSINESS,D,430,3910.92,109,1
382,AF,ECONOMY,Y,85,5044.4400000000005,109,1
383,AF,BUSINESS,D,670,6619.32,109,1
384,BA,PREMIUM_ECO,W,470,3688.54,92,1
385,AA,BUSINESS,D,540,4469.85,95,1
386,VS,ECONOMY,O,665,1584.33,92,1
387,IB,BUSINESS,R,84,5270.23,98,1
388,NH,PREMIUM_ECO,G,720,4623.45,95,1
389,BA,PREMIUM_ECO,W,530,6155.0599999999995,92,1
390,DL,ECONOMY,V,487,1329.1,92,1
391,AA,PREMIUM_ECO,W,615,5674.15,92,1
392,AF,ECONOMY,Y,125,3644.93,109,1
393,DL,BUSINESS,Z,660,5354.68,171,1
394,LH,BUSINESS,D,530,4939.27,95,1
395,DL,BUSINESS,Z,915,6569.469999999999,92,1
396,AF,BUSINESS,I,619,4039.67,109,1
397,LX,BUSINESS,D,525,7662.94,171,1
398,AF,BUSINESS,I,565,6171.12,109,1
399,AF,BUSINESS,J,995,7871.28,109,1
400,KL,BUSINESS,D,815,5750.219999999999,169,1
401,LX,BUSINESS,D,745,7813.92,171,1
402,BA,BUSINESS,R,570,6405.139999999999,92,1
403,BA,BUSINESS,R,780,7862.82,109,1
404,ET,ECONOMY,H,710,3322.23,109,1
405,EK,BUSINESS,I,925,5260.8,169,1
406,BA,PREMIUM_ECO,W,325,7695.0,92,1
407,AF,BUSINESS,C,650,7521.56,109,1
408,KL,BUSINESS,Z,496,4376.63,169,1
409,AF,BUSINESS,I,640,5429.1,109,1
410,LH,BUSINESS,P,1040,6181.94,171,1
411,BA,ECONOMY,Y,1090,5098.13,109,1
412,LH,BUSINESS,C,925,12669.44,95,1
413,LH,PREMIUM_ECO,G,1094,3854.6,95,1
414,IB,PREMIUM_ECO,W,615,6153.58,92,1
415,LH,PREMIUM_ECO,G,635,4205.0599999999995,95,1
416,KL,ECONOMY,Y,100,5182.63,109,1
417,AF,BUSINESS,C,490,7220.04,95,1
418,LH,BUSINESS,C,880,5337.32,169,1
419,BA,PREMIUM_ECO,W,555,4455.23,92,1
420,BA,ECONOMY,H,970,2186.1400000000003,109,1
421,BA,BUSINESS,R,665,8774.26,92,1
422,BA,ECONOMY,Y,230,4067.27,92,1
423,IB,BUSINESS,C,1080,6827.38,109,1
424,AF,ECONOMY,U,720,3295.45,109,1
425,EK,BUSINESS,C,385,4862.14,171,1
426,AF,BUSINESS,D,715,8349.0,109,1
427,AF,BUSINESS,I,485,5981.79,109,1
428,AF,BUSINESS,J,880,5790.88,171,1
429,LH,BUSINESS,P,660,4354.93,95,1
430,AF,BUSINESS,C,760,4876.0,109,1
431,KL,ECONOMY,K,960,2535.64,109,1
432,LH,PREMIUM_ECO,E,900,3889.6400000000003,95,1
433,AF,PREMIUM_ECO,S,475,2502.3599999999997,109,1
434,BA,BUSINESS,R,775,7016.95,92,1
435,AF,BUSINESS,C,390,7570.47,109,1
436,AF,BUSINESS,C,555,8283.34,109,1
437,AT,BUSINESS,C,200,3643.6099999999997,100,1
438,DL,FIRST,P,848,5651.96,95,1
439,BA,ECONOMY,Y,590,4608.5599999999995,92,1
440,DL,BUSINESS,D,749,13100.49,95,1
441,AF,BUSINESS,Z,660,6789.6,109,1
442,AF,BUSINESS,C,665,6620.94,109,1
443,BA,ECONOMY,Y,635,4064.88,95,1
444,LH,BUSINESS,C,880,7185.04,109,1
445,BA,BUSINESS,D,620,10753.63,92,1
446,NH,BUSINESS,D,685,3731.89,169,1
447,LH,BUSINESS,D,530,6618.82,95,1
448,BA,BUSINESS,D,415,11003.91,92,1
449,AF,BUSINESS,I,785,8142.39,109,1
450,AA,FIRST,A,137,8066.06,98,1
451,BA,BUSINESS,D,80,2567.25,109,1
452,LH,ECONOMY,Y,85,1095.42,97,1
453,LH,BUSINESS,Z,855,7554.81,97,1
454,AF,PREMIUM_ECO,S,721,4936.74,109,1
455,BA,PREMIUM_ECO,W,510,3965.23,92,1
456,EK,ECONOMY,R,390,3436.45,95,1
457,BA,BUSINESS,R,640,10432.73,92,1
458,JJ,ECONOMY,Y,1750,6830.4400000000005,92,1
459,AF,BUSINESS,C,755,7146.36,109,1
460,AA,BUSINESS,J,625,8915.6,109,1
461,EK,ECONOMY,Q,410,2293.04,92,1
462,LX,ECONOMY,L,825,2186.59,171,1
463,BR,BUSINESS,C,790,4792.45,109,1
464,UA,BUSINESS,D,450,5682.37,169,1
465,AF,BUSINESS,D,500,6230.9400000000005,109,1
466,SQ,BUSINESS,U,730,6402.87,171,1
467,EK,BUSINESS,I,1425,6119.32,95,1
468,KL,BUSINESS,D,1035,7521.41,100,1
469,QF,PREMIUM_ECO,T,570,4159.73,1114,1
470,BA,PREMIUM_ECO,W,475,3403.95,92,1
471,KL,BUSINESS,Z,460,7589.42,169,1
472,EK,BUSINESS,C,420,7658.72,92,1
473,AF,ECONOMY,U,205,3052.44,109,1
474,AF,BUSINESS,I,720,6226.22,109,1
475,BA,BUSINESS,J,1040,5733.6,92,1
476,LX,BUSINESS,C,520,9086.25,171,1
477,BA,BUSINESS,R,790,5459.1,109,1
478,BA,ECONOMY,Y,675,4863.05,92,1
479,BA,BUSINESS,R,865,5247.1900000000005,169,1
480,BA,ECONOMY,B,465,3686.19,92,1
481,BA,PREMIUM_ECO,T,320,1345.86,92,1
482,AF,BUSINESS,D,695,7005.84,109,1
483,LH,BUSINESS,Z,930,5729.42,169,1
484,LH,BUSINESS,J,740,5600.81,95,1
485,KL,ECONOMY,U,80,2660.04,100,1
486,BA,BUSINESS,R,455,7873.84,92,1
487,AF,BUSINESS,C,410,4060.25,109,1
488,AF,PREMIUM_ECO,S,495,2742.4,109,1
489,AF,BUSINESS,J,440,8617.25,109,1
490,AF,BUSINESS,D,670,7210.27,169,1
491,AF,ECONOMY,B,836,3515.87,109,1
492,AF,BUSINESS,C,480,10120.720000000001,109,1
493,LH,BUSINESS,Z,835,8045.53,171,1
494,BA,BUSINESS,R,590,6265.4,92,1
495,LH,BUSINESS,D,1185,5207.79,171,1
496,AA,FIRST,A,420,7719.2,92,1
497,UA,BUSINESS,D,830,4929.94,169,1
498,AF,PREMIUM_ECO,S,725,5663.45,109,1
499,BA,PREMIUM_ECO,W,645,5667.84,92,1
500,LH,BUSINESS,C,705,8198.130000000001,95,1
501,AF,ECONOMY,W,70,1350.76,109,1
502,LX,ECONOMY,H,70,1818.06,100,1
503,BA,PREMIUM_ECO,W,600,5800.27,92,1
504,LH,BUSINESS,J,875,6595.46,97,1
505,KL,BUSINESS,D,905,3810.43,169,1
506,DL,FIRST,F,826,7490.69,95,1
507,UA,ECONOMY,M,645,2680.56,169,1
508,LH,ECONOMY,Q,60,2536.94,98,1
509,LH,BUSINESS,P,825,3624.73,109,1
510,TK,ECONOMY,O,745,2436.24,95,1
511,BA,PREMIUM_ECO,W,445,8667.23,92,1
512,AF,PREMIUM_ECO,W,340,6789.23,109,1
513,BA,BUSINESS,R,855,4235.73,169,1
514,LH,BUSINESS,P,660,5423.41,171,1
515,BA,BUSINESS,R,550,7215.63,92,1
516,AM,ECONOMY,L,480,5034.35,98,1
517,EK,BUSINESS,J,530,4351.33,97,1
518,AF,BUSINESS,J,845,7713.84,109,1
519,AF,ECONOMY,K,955,2517.74,109,1
520,AF,ECONOMY,M,465,6020.07,109,1
521,AF,PREMIUM_ECO,S,725,5020.0,169,1
522,LH,PREMIUM_ECO,G,770,3431.68,95,1
523,LH,ECONOMY,M,831,5792.5599999999995,95,1
524,DL,FIRST,P,907,4393.8,109,1
525,BA,ECONOMY,Y,625,5909.95,92,1
526,BA,ECONOMY,B,580,3489.44,92,1
527,VS,BUSINESS,J,430,8870.15,92,1
528,LH,BUSINESS,D,665,6123.62,95,1
529,AF,ECONOMY,B,490,3515.9700000000003,109,1
530,AF,FIRST,F,740,9106.02,109,1
531,CX,BUSINESS,D,300,5680.6,92,1
532,AF,BUSINESS,C,700,6573.28,171,1
533,KL,BUSINESS,J,2075,10108.92,109,1
534,AF,PREMIUM_ECO,W,440,2480.59,109,1
535,BA,BUSINESS,R,690,8024.83,92,1
